表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,,（上）顕れたる事実,,0,2
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,（上）顕れたる事実,,0,2
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,2
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,,（上）顕れたる事実,,0,2
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,2
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,2
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,,（上）顕れたる事実,,0,2
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,,（上）顕れたる事実,,0,2
暗号解読,名詞,固有名詞,一般,*,*,*,暗号解読,アンゴウカイドク,アンゴーカイドク,,（上）顕れたる事実,,0,2
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,2
すばらしい,形容詞,自立,*,*,形容詞・イ段,基本形,すばらしい,スバラシイ,スバラシイ,,（上）顕れたる事実,,0,2
才能,名詞,一般,*,*,*,*,才能,サイノウ,サイノー,,（上）顕れたる事実,,0,2
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,2
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,,（上）顕れたる事実,,0,2
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,,（上）顕れたる事実,,0,2
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,,（上）顕れたる事実,,0,2
発見,名詞,サ変接続,*,*,*,*,発見,ハッケン,ハッケン,,（上）顕れたる事実,,0,2
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,,（上）顕れたる事実,,0,2
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,,（上）顕れたる事実,,0,2
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,,（上）顕れたる事実,,0,2
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,2
読者,名詞,一般,*,*,*,*,読者,ドクシャ,ドクシャ,,（上）顕れたる事実,,0,3
